Bulan,Min of Suhu Minimum (°C),Max of Suhu Maksimum (°C),Average of Suhu Rata-rata (°C),Average of Kelembaban Rata-rata (%),Average of Curah Hujan (mm),Average of Lama Penyinaran (jam),Average of Kecepatan Angin Rata-rata (knot),Average of Kecepatan Angin Terbesar (knot)
Jan-87,22.4,32.8,26.97096774,83.38709677,10.8516129,3.45483871,3.225806452,6.032258065
Feb-87,21.5,32.4,27.04285714,83.71428571,11.60714286,5.314285714,2.964285714,5.857142857
Mar-87,22,34.2,27.77419355,81.51612903,9.983870968,5.396774194,2.35483871,4.580645161
Apr-87,23.4,34,28.54,77.6,3.546666667,6.72,2.6,4.466666667
May-87,22,34.2,28.22903226,77.61290323,2.174193548,6.629032258,2.387096774,4.870967742
Jun-87,22,33.2,27.95,81.76666667,1.59,6.89,2.633333333,4.766666667
Jul-87,21.6,32.8,27.33225806,83.22580645,0.777419355,7.425806452,2.483870968,4.612903226
Aug-87,20,33.8,26.86451613,71.03225806,0,7.683870968,2.322580645,5.193548387
Sep-87,21.2,35.8,28.36333333,63.63333333,0,7.843333333,2.933333333,5.733333333
Oct-87,22.2,37.2,30.00322581,58.77419355,0,7.780645161,2.451612903,4.35483871
Nov-87,23.3,37.4,29.59333333,69.66666667,6.423333333,5.51,2.333333333,4.366666667
Dec-87,22.8,34,28.02258065,80.4516129,13.17741935,4.538709677,2.677419355,4.612903226
Jan-88,23,34,27.63870968,84.16129032,13.66774194,4,2.225806452,4.096774194
Feb-88,23.4,34.4,27.82413793,81.48275862,4.210344828,5.010344828,2.482758621,4.517241379
Mar-88,23,35.4,28.26774194,81.61290323,5.796774194,4.5,2.258064516,4.387096774
Apr-88,22,33.6,28.77666667,76.83333333,3.973333333,6.78,2.333333333,4.266666667
May-88,23.6,33.2,28.50645161,81.93548387,5.212903226,5.34516129,2.096774194,3.516129032
Jun-88,20.5,33,27.84666667,76.23333333,0.85,7.153333333,2.333333333,4.333333333
Jul-88,20,33.2,26.61290323,73.61290323,0,7.364516129,2.129032258,3.935483871
Aug-88,21.8,33.4,27.23548387,72.61290323,0.364516129,7.683870968,2.290322581,4.35483871
Sep-88,22,35.8,28.56666667,64.46666667,0,7.833333333,2.266666667,4.466666667
Oct-88,23,36.2,28.99032258,69.87096774,2.390322581,5.687096774,2.290322581,3.967741935
Nov-88,21.8,35.8,28.31333333,74.53333333,2.883333333,4.023333333,2.266666667,3.766666667
Dec-88,20.8,35,27.00322581,79.03225806,10.31612903,4.587096774,2.580645161,4.419354839
Jan-89,22.8,34,27.46451613,81.06451613,7.135483871,0.364516129,2.096774194,3.870967742
Feb-89,22.4,31.9,26.23571429,85.46428571,13.91071429,0.317857143,2.285714286,4.285714286
Mar-89,22.5,32,26.83870968,83,5.109677419,0.361290323,2.096774194,3.129032258
Apr-89,23.2,34.4,27.68666667,79.7,2.213333333,0.486666667,2.066666667,3.066666667
May-89,23.6,32.9,27.98064516,78.38709677,5.587096774,0.467741935,2.096774194,3.032258065
Jun-89,22.6,32.3,26.92,81.46666667,2.41,0.423333333,2.166666667,3.2
Jul-89,21.6,32.2,27.43870968,77.29032258,1.264516129,0.548387097,2.064516129,3.483870968
Aug-89,22.6,34,28.18709677,77.80645161,5.4,0.416129032,2.580645161,3.516129032
Sep-89,20.4,34.9,28.17666667,64.56666667,0,0.566666667,2.566666667,4.366666667
Oct-89,22.4,35.6,29.11612903,65.35483871,1.451612903,6.525806452,2.516129032,3.935483871
Nov-89,23.4,35.6,28.91,70.63333333,1.833333333,0.446666667,2.566666667,4.066666667
Dec-89,22.6,34,28.18387097,77.80645161,5.374193548,5.238709677,2.580645161,3.516129032
Jan-90,23,32.4,26.82903226,86.29032258,9.677419355,0.232258065,3.096774194,5.064516129
Feb-90,22.6,33.4,27.68571429,79.67857143,6.125,0.439285714,2.428571429,3.928571429
Mar-90,23.4,35.2,27.66451613,83.70967742,8.235483871,0.361290323,2.64516129,4.161290323
Apr-90,23.7,35.3,28.62666667,79.56666667,2.9,0.453333333,2.066666667,3.433333333
May-90,24,34,28.48064516,82.16129032,3.612903226,0.406451613,2.032258065,3.419354839
Jun-90,22.3,32.3,28.09,78.5,1.8,0.526666667,2.666666667,4.433333333
Jul-90,21,32.5,27.41935484,76.87096774,1.451612903,0.535483871,2.774193548,4.935483871
Aug-90,22,34.2,27.95483871,66.90322581,0.064516129,0.525806452,2.838709677,4.612903226
Sep-90,23.2,34.5,28.58333333,63.6,0.233333333,0.59,3.533333333,5.9
Oct-90,23.6,38.8,29.93548387,59.38709677,0,0.590322581,3.483870968,5.870967742
Nov-90,23.5,37,30.43333333,63.06666667,3.066666667,0.533333333,2.366666667,4.1
Dec-90,21.5,37,27.40322581,80.03225806,9.451612903,0.264516129,2.258064516,5.709677419
Jan-91,23,33.8,27.4483871,82.29032258,8.580645161,0.390322581,2.516129032,6.580645161
Feb-91,23.2,32.6,27.03571429,83.25,10,0.289285714,3.178571429,7.107142857
Mar-91,23.7,33.6,28.21935484,76.5483871,2.451612903,0.416129032,1.870967742,3.967741935
Apr-91,23.6,33,27.43,83.93333333,16.20666667,0.416666667,1.733333333,4.066666667
May-91,21.9,32.7,27.97419355,75.03225806,1.580645161,0.567741935,2.161290323,4.483870968
Jun-91,21.5,33,27.39666667,72.5,0.366666667,0.56,2.1,4.166666667
Jul-91,20.7,33.8,27.05483871,69.48387097,0.032258065,0.583870968,2.387096774,4.741935484
Aug-91,20.7,32.6,26.86451613,65.83870968,0,0.6,2.35483871,4.935483871
Sep-91,20.6,34.4,28.09,61.73333333,0,0.586666667,2.266666667,5.033333333
Oct-91,20.2,35.8,29.31935484,59.16129032,0,0.590322581,2.258064516,5
Nov-91,23.4,35.6,28.92333333,70,4.563333333,0.413333333,2,4.566666667
Dec-91,23.4,33.4,27.85483871,79.48387097,5.2,0.280645161,1.612903226,4.129032258
Jan-92,22.4,32.9,27.69354839,80.67741935,13.80645161,0.441935484,2.161290323,4.774193548
Feb-92,21.6,34,27.66551724,81.65517241,7.827586207,0.337931034,2.482758621,4.931034483
Mar-92,22.9,33.2,27.68709677,83.19354839,11.41935484,0.377419355,2.032258065,4.612903226
Apr-92,24,33.3,28.07666667,81.73333333,3.566666667,0.363333333,2.166666667,4.5
May-92,23,33.2,28.4516129,78.16129032,1.258064516,0.496774194,2.096774194,4.161290323
Jun-92,21.6,32.6,27.96333333,75.33333333,1.333333333,0.543333333,2.433333333,4.5
Jul-92,21.7,32.2,27.39354839,72.29032258,0.290322581,0.580645161,3.032258065,5.580645161
Aug-92,21.4,33.2,27.75806452,69.70967742,0.161290323,0.54516129,2.64516129,5.064516129
Sep-92,23,35.7,28.73,67.76666667,0,0.566666667,2.766666667,5.3
Oct-92,23.5,35.2,29.19354839,69,1.548387097,0.503225806,2.290322581,5.290322581
Nov-92,23.2,35,28.51333333,73.9,4.033333333,0.403333333,2.133333333,4.8
Dec-92,22.4,33.8,27.51290323,80,14.77419355,0.312903226,2,4.35483871
Jan-93,22.7,33.5,27.43870968,81.16129032,9.903225806,0.335483871,2.64516129,4.935483871
Feb-93,23,34,27.5,79.85714286,9.357142857,0.457142857,2.75,5.857142857
Mar-93,23,33.3,27.72258065,79.67741935,6.967741935,0.416129032,1.870967742,4.225806452
Apr-93,23,33,27.98666667,80.26666667,2.166666667,0.406666667,2.2,4.366666667
May-93,24,33.6,28.52580645,76.32258065,1.903225806,0.529032258,2.64516129,5.032258065
Jun-93,23.1,33.3,27.97333333,77.8,5,0.473333333,2.533333333,5.066666667
Jul-93,21.3,32.5,26.92580645,70.80645161,0.193548387,0.583870968,2.516129032,4.709677419
Aug-93,22,32.8,27.68064516,70.58064516,1.035483871,0.577419355,2.967741935,5.451612903
Sep-93,22.4,34.1,28.22,64.23333333,0,0.583333333,3.2,6.6
Oct-93,23.6,36,29.66129032,61.25806452,0,0.590322581,3.032258065,6.419354839
Nov-93,24.4,36.8,30.02333333,67.06666667,0.7,0.41,2.466666667,5.733333333
Dec-93,23.1,35.8,28.86451613,74.12903226,6.612903226,0.416129032,2.193548387,4.935483871
Jan-94,23.3,33.4,27.18709677,83.19354839,9.709677419,4.348387097,2.225806452,4.419354839
Feb-94,23.2,33.3,27.10357143,83.78571429,7.071428571,4.442857143,2.535714286,5.821428571
Mar-94,22.7,33.2,26.87741935,84.29032258,10.06451613,3.335483871,2,5
Apr-94,23.5,33,27.76,80.56666667,3.033333333,5.356666667,2.533333333,4.8
May-94,20.8,33.6,27.09677419,74.96774194,0.612903226,7.196774194,2.290322581,5.032258065
Jun-94,20.2,32.9,26.79333333,72.23333333,0.133333333,7.373333333,2,4
Jul-94,19.6,36.4,26.28709677,69.16129032,0,7.593548387,2.322580645,4.612903226
Aug-94,19.2,33.3,26.57419355,67.35483871,0,7.903225806,2.64516129,4.967741935
Sep-94,21,34.2,27.72333333,63.33333333,0,0.58,2.5,5.2
Oct-94,22.5,36.5,29.44516129,63.5483871,0,0,2.483870968,5.709677419
Nov-94,24.5,36.1,30.33666667,70.13333333,1.933333333,0.516666667,2.233333333,5.2
Dec-94,23.8,35.8,28.4,79.64516129,4.483870968,0.361290323,2.193548387,4.064516129
Jan-95,23.7,33.6,27.5483871,84.61290323,7.670967742,0,2.322580645,4.612903226
Feb-95,23.3,32.6,27.05,85.14285714,11.63571429,0,2.464285714,5.357142857
Mar-95,23.3,33.4,27.59677419,82.25806452,6.016129032,0,2.258064516,4.741935484
Apr-95,23.6,34,28.28666667,79.3,8.196666667,0,2.2,4.766666667
May-95,23,33.8,28.7516129,76.80645161,1.622580645,0,2.580645161,4.774193548
Jun-95,22.9,33.6,28.12333333,80.7,5.066666667,0,2.366666667,4.533333333
Jul-95,21.6,32.9,27.36129032,74.74193548,0.290322581,0,2.580645161,4.548387097
Aug-95,21.4,33.2,27.25483871,69.41935484,0,0.587096774,2.483870968,4.806451613
Sep-95,22.1,35.4,28.49333333,67.83333333,0,0,2.633333333,4.7
Oct-95,23.2,35.8,29.56129032,68.87096774,1.709677419,0,2.35483871,4.419354839
Nov-95,23.6,35.3,28.13333333,79.06666667,9.333333333,0.336666667,2.066666667,4.1
Dec-95,23.3,33.5,27.61612903,80.4516129,7.741935484,0,2.419354839,4.709677419
Jan-96,23.2,33.6,27.44516129,83.80645161,8.483870968,0,2.419354839,4.516129032
Feb-96,23.2,32.7,27.13793103,84.65517241,12.06896552,0,3.034482759,6.034482759
Mar-96,23.8,33.8,28.28064516,79.25806452,4.225806452,0,2.709677419,6.483870968
Apr-96,23.8,34.4,28.52333333,76.63333333,3.7,0,2.333333333,5.2
May-96,22.2,34.4,28.35806452,72.38709677,1.419354839,0,2.387096774,5.096774194
Jun-96,23.5,35.6,28.10666667,76,2.133333333,0,2.633333333,6.366666667
Jul-96,22,33.4,27.90967742,70.90322581,0.064516129,0,2.709677419,6.161290323
Aug-96,22,33.9,28.0483871,69.29032258,0.903225806,0,2.741935484,6.290322581
Sep-96,22.7,35,28.7,64.83333333,0.3,0,2.633333333,6.1
Oct-96,24,35.8,29.56129032,68.74193548,0.935483871,0,2.193548387,6.161290323
Nov-96,23,35.2,28.82666667,74.23333333,6.366666667,0,1.866666667,5.366666667
Dec-96,23.4,33.9,27.71290323,79.80645161,7,0,2.870967742,5.903225806
Jan-97,24,35.6,27.62258065,79.41935484,6.174193548,0.464516129,2.935483871,6.709677419
Feb-97,23.4,33.3,27.27142857,83.03571429,9.464285714,0,3.142857143,6.857142857
Mar-97,23.8,34.2,28.26451613,76.77419355,6.709677419,0,2.612903226,5.516129032
Apr-97,23.8,34,28.11,78.66666667,5.733333333,0,2.533333333,6.1
May-97,23.5,34.2,28.35806452,76,2.096774194,0,2.387096774,5.709677419
Jun-97,21.4,33.2,27.80333333,74.8,4.866666667,0,3.033333333,6.7
Jul-97,20,33.2,26.45806452,71.41935484,0.003225806,0.561290323,2.709677419,6.741935484
Aug-97,21.6,36,28.38709677,78.70967742,0,0,1.870967742,4.709677419
Sep-97,21.4,34.8,27.16333333,66.46666667,0.3,0.6,3.266666667,7.266666667
Oct-97,20.7,36.6,28.96774194,63.09677419,0.935483871,0,3,7.161290323
Nov-97,24.2,36,29.86666667,66.36666667,6.366666667,0,2.5,6.1
Dec-97,21.6,36,28.38709677,78.70967742,4.032258065,0,1.870967742,4.709677419
Jan-98,24,35.5,29.18064516,76.90322581,3.729032258,0,2.258064516,5.806451613
Feb-98,22,34.5,28.34642857,83.10714286,14.725,0,1.928571429,4.964285714
Mar-98,24,35,28.57419355,83.77419355,5.161290323,0.461290323,1.741935484,5.129032258
Apr-98,24,35.4,29.08,82.43333333,7.166666667,0.42,2.066666667,5.2
May-98,24.5,35.2,29.34516129,80.58064516,6.451612903,0,2.741935484,5.774193548
Jun-98,23.6,33.8,28.67,82.66666667,3.866666667,0,2.366666667,5.533333333
Jul-98,23.7,33.8,28.15483871,82.58064516,5,0,2.419354839,5.419354839
Aug-98,22.5,34.4,28.67741935,72.93548387,0.290322581,0,2.967741935,6.806451613
Sep-98,23,35.2,28.88,70.8,1.266666667,0,3.2,6.766666667
Oct-98,23.4,35,29.22258065,76.67741935,5.935483871,0,2.225806452,5.903225806
Nov-98,24.2,35,28.10333333,80.86666667,8.766666667,0,1.7,4.533333333
Dec-98,23.7,35.2,28.12258065,78.80645161,13.35483871,0,2.161290323,6.064516129
Jan-99,23.4,33.2,27.28709677,84.48387097,19.59032258,0.338709677,2.806451613,7.580645161
Feb-99,23.8,34,27.575,82.32142857,6.692857143,0.382142857,4.107142857,9.107142857
Mar-99,23.8,34.4,27.62903226,82.90322581,12.70322581,0.348387097,2.032258065,6.032258065
Apr-99,23.4,34,27.92333333,81.66666667,7.96,0.403333333,1.966666667,5.2
May-99,23,33.6,27.96129032,77.48387097,1.864516129,0.506451613,2.225806452,5.774193548
Jun-99,22.3,33.8,27.85,73.4,0.01,0.55,2.633333333,6.2
Jul-99,21.2,33,26.6516129,74.29032258,1.474193548,0.548387097,3.258064516,6.225806452
Aug-99,20.6,34.2,27.36774194,70,1.474193548,0.548387097,3.322580645,6.967741935
Sep-99,20.6,34.6,27.96666667,66.53333333,0,0.593333333,3.466666667,7.8
Oct-99,23.2,35.9,28.68387097,71.38709677,2.65483871,0.44516129,2.548387097,6.096774194
Nov-99,23.2,34.6,28.01333333,79.5,6.04,0.293333333,1.9,4.833333333
Dec-99,23.2,34.3,27.73548387,81.06451613,10.23870968,0.25483871,2.516129032,6.225806452
Jan-00,22.8,34.3,27.04193548,83.64516129,15.29032258,0.287096774,2.612903226,6.35483871
Feb-00,23.2,33,27.22413793,82.96551724,9.248275862,0.310344828,2.896551724,6.206896552
Mar-00,23.6,34.1,27.48064516,81.87096774,6.177419355,0.293548387,2.709677419,6.483870968
Apr-00,23.6,34.1,27.18,82.53333333,4.406666667,0.35,1.6,4.8
May-00,23.5,33.9,28.24193548,79.51612903,2.393548387,0.496774194,2.064516129,5.096774194
Jun-00,21.6,33.3,26.98333333,77.36666667,2.996666667,0.493333333,2.233333333,5.6
Jul-00,20,33.6,27.58387097,71.16129032,0.6,0.593548387,2.935483871,6.580645161
Aug-00,21.7,33.6,27.51612903,69.58064516,0.074193548,0.577419355,2.935483871,6.322580645
Sep-00,22.8,36.2,27.91,79.7,0,0.57,3.366666667,7.266666667
Oct-00,23,36.2,28.67096774,72.5483871,5.283870968,0.387096774,2.032258065,5.258064516
Nov-00,24.2,34.8,28.56,79.7,3.13,0.28,2.4,5.466666667
Dec-00,23.5,35.8,28.60645161,75.90322581,4.732258065,0.435483871,3.096774194,6.387096774
Jan-01,23.2,34.3,27.73225806,80.96774194,7.9,0.312903226,2.387096774,6.032258065
Feb-01,23.6,34.2,27.575,80.96428571,12.63928571,0.307142857,3.892857143,8
Mar-01,23.2,34,27.54516129,83.38709677,10.18064516,0.322580645,2.161290323,5.64516129
Apr-01,23.2,34.5,28.20333333,80.36666667,8.113333333,0.36,1.833333333,5.333333333
May-01,22.9,34.8,28.7516129,74.4516129,1.706451613,0.425806452,2.612903226,5.967741935
Jun-01,22.5,33.6,27.67666667,77.96666667,2.95,0.466666667,2.366666667,5.833333333
Jul-01,20,33,27.18064516,74.87096774,4.932258065,0.490322581,2.225806452,5.870967742
Aug-01,20.3,34.8,27.20967742,69.19354839,0,0.583870968,3.225806452,7.064516129
Sep-01,23.2,36.2,28.95666667,67.86666667,0,0.596666667,3.466666667,7.2
Oct-01,23.6,36,28.73870968,74.61290323,5.24516129,0.409677419,2.193548387,5.451612903
Nov-01,23.9,35.6,28.83,77.8,7.43,0.353333333,2.066666667,5.566666667
